enhancer	target_Entrez
chr12:112006202-112009400	8315, 80724, 6311, 51275, 10961, 217, 8550, 144717, 10019, 10906
chr17:41278202-41283200	672
chr17:41442802-41451800	672
chr13:32890402-32895400	675
chr13:33213602-33214600	675
chr17:59366002-59367600	83990
chr17:59375306-59377307	83990
chr17:59376191-59378192	83990
chr17:59524138-59526139	83990
chr17:59714852-59716853	83990
chr17:59721479-59723480	83990
chr17:59721480-59723481	83990
chr17:59788086-59790087	83990
chr20:55683202-55685000	83990
chr20:55700207-55702208	83990
chr20:55701731-55703732	83990
chr20:55773202-55775000	83990
chr20:55794802-55796000	83990
chr20:55828393-55830394	83990
chr3:15599802-15600000	686
chr6:28233802-28234600	11118
chr6:28234176-28236176	11118
chr10:1152202-1158200	55853, 22884, 91734, 10531, 23560, 23185, 855986, 5214
chr13:72346202-72348200	79866, 1602
chr16:30749130-30756602	90835
chr16:31152700-31154700	90835
chr16:31152900-31154900	90835
chr16:30751900-30753900	90835, 5261, 10847
chr16:31153505-31153675	90835, 5261, 10847
chr16:30669100-30671100	90835, 10847
chr16:30934300-30936300	90835, 197407, 5261
chr16:30669505-30669790	90835, 197407, 10847, 5261
chr19:33355891-33357891	91442, 56301, 1054, 55094, 91646, 11136, 84079, 390916, 84902, 9141
chr2:20879202-20882600	60526
chr5:56029202-56034400	133383
chr12:2339802-2367400	775
chr19:13046602-13049400	811
chr10:12304602-12308600	57118, 850912
chr2:85767202-85783400	822
chr2:85760002-85765239	822
chr4:185568801-185570801	836
chr2:202310602-202315600	841
chr2:202899002-202907600	841
chr2:202204602-202204800	841
chr22:39539602-39548000	23492
chr2:73865402-73870200	84865, 57835, 853333, 10617, 150726, 396084, 51471, 8446, 9027, 7840, 51002, 1716, 200424, 388962, 1639, 64427, 55233
chr17:32559802-32586800	6347
chr17:34204402-34208600	6352
chr11:68837002-68866200	595
chr11:68869602-68873200	595
chr11:68880643-68882644	595
chr11:68885052-68887053	595
chr11:69050978-69052979	595
chr11:69052154-69054155	595
chr11:69083602-69090000	595
chr11:69191002-69193000	595
chr11:69242913-69244914	595
chr11:69249002-69254400	595
chr11:69255005-69257006	595
chr11:69255008-69257009	595
chr11:69255011-69257012	595
chr11:69257002-69267000	595
chr11:69276802-69281000	595
chr11:69281002-69287200	595
chr11:69286640-69288641	595
chr11:69299402-69305200	595
chr11:69304799-69306800	595
chr11:69308202-69315800	595
chr11:69314935-69316936	595
chr11:69316977-69318978	595
chr11:69317175-69319176	595
chr11:69323989-69325990	595
chr11:69329742-69331743	595
chr11:69331202-69334200	595
chr11:69344852-69346853	595
chr11:69351202-69352000	595
chr11:69353002-69356800	595
chr11:69390202-69391200	595
chr11:69415853-69417854	595
chr11:69417602-69419000	595
chr11:69430402-69432400	595
chr11:69457802-69476800	595
chr11:69238741-69240741	595
chr11:69233802-69236800	595
chr19:30295402-30298800	898
chr4:77367202-77372600	10983, 53371, 8987, 55153, 3627, 901, 950, 57619, 4283
chr4:77405402-77414000	10983, 950, 8987, 901, 53371, 57619, 3627, 55153, 4283
chr3:46409402-46417600	1234
chr2:71077802-71079600	50489
chr20:44739156-44740600	958
chr1:117095802-117109400	965
chr3:121791947-121797400	942
chr7:21937202-21939600	55536
chr16:68738002-68739200	852881
chr16:68740002-68742600	852881
chr16:68748802-68750800	852881
chr16:68751380-68753381	852881
chr16:68807602-68838400	852881
chr12:12870602-12876600	1027
chr12:12950802-12966200	1027
chr9:21974127-21976127	1029
chr9:22071264-22073264	1029
chr9:22075795-22077795	1029
chr9:22096002-22099600	1029
chr9:22101602-22110600	1029
chr9:22093330-22095330	1029
chr1:241012202-241013200	1029
chr9:22072402-22073600	1029
chr9:22110602-22120000	1029, 100048912
chr9:22123402-22125200	1029, 1030
chr9:22123402-22125200	1029, 4507, 100048912, 1030
chr6:74596274-74597932	1030
chr16:56994402-56997400	1071
chr7:117255202-117258200	1080
chr22:29195386-29197387	11200
chr22:29195404-29197405	11200
chr22:29203202-29221400	11200
chr2:175626602-175632200	1134
chr16:11440602-11455000	23274
chr12:9872202-9876800	160365
chr5:1325957-1328153	81037
chr6:154985664-154987664	154043, 22828, 51106
chr7:101929905-101930115	1523
chr7:101358313-101363414	1523
chr7:101360494-101364353	1523
chr7:101582792-101593292	1523
chrX:45297055-45299055	79742
chrX:37639002-37678400	1536
chr12:58132402-58138400	1594
chr13:72427002-72428800	1602
chr9:89720602-89726000	1612
chr17:61776669-61778669	10238
chr17:61513469-61515469	10238
chr17:61042869-61044869	10238
chr5:141013402-141015200	1729
chr13:73925602-73926000	854138
chr7:96357368-96357928	1750, 1749
chr4:9994182-9996182	1816, 9948, 56606
chr6:12902202-12905800	1906
chr7:55088002-55103400	1956
chr7:55322402-55323200	1956
chr19:41367602-41372400	112398
chr10:64201343-64202560	1959
chr10:64736575-64738575	1959
chr5:95251002-95284000	22936
chr5:96273002-96281400	64167
chr21:47819654-47820374	2078
chr6:150464402-150470200	837856
chr6:151923498-151925498	837856
chr6:151934148-151936149	837856
chr6:151936602-151938200	837856
chr6:151954202-151955600	837856
chr6:151956875-151958876	837856
chr6:151957185-151959186	837856
chr6:151961602-151962000	837856
chr6:152022202-152025200	837856
chr6:152232402-152232800	837856
chr6:152359637-152361637	837856
chr6:151953002-151954000	837856
chr6:151957815-151959815	837856, 55005
chr6:152431802-152435400	837856, 55005
chr6:151948602-151950000	837856, 55005, 80129
chr21:40274002-40306000	2114
chr12:11836402-11997800	2120
chr12:12027802-12051800	2120
chr12:12879202-12880200	2120
chr12:12002002-12021600	2120
chr3:128291911-128293310	2122
chr3:128320778-128328914	2122, 2624
chr13:113759602-113760800	2155
chrX:154251002-154251200	2157
chrX:138611889-138613889	24946
chr9:71433707-71435707	116224, 2395
chr8:139804402-139806200	51059
chr8:11342973-11344973	83648
chr8:127888002-127892000	157638
chr10:123348002-123356600	2263
chr10:123330602-123341000	2263, FGER2
chr4:1769135-1782393	2261
chr4:1762585-1762735	2261
chr4:1804443-1813395	2261
chr2:216531968-216533440	2335
chr14:37709185-37711186	3169
chr14:37709806-37711807	3169
chr14:37722745-37724746	3169
chr14:37732002-37733800	3169
chr14:38057802-38060800	3169
chr14:38117241-38119242	3169
chr14:38119402-38120400	3169
chr14:38125241-38127242	3169
chr14:38163005-38165006	3169
chr14:38165802-38169400	3169
chr14:38179002-38179800	3169
chr14:38181676-38183677	3169
chr14:38181684-38183685	3169
chr14:38181915-38183916	3169
chr14:38183293-38185294	3169
chr9:100548402-100549800	2304
chr9:100556802-100557800	2304, 101928337
chr9:100551602-100552200	2304, 101928337
chr9:100548402-100549800	2304, 101928337
chr9:100554802-100556800	2304, 101928337
chr14:29999405-30001405	2290
chr3:138948982-138956382	668
chr3:138949278-138949493	668
chr3:138953065-138953195	668
chr3:138953777-138953924	668
chr3:138952230-138952626	668
chr3:138953406-138953701	668
chr3:138955586-138955719	668
chr3:138949637-138949735	668
chr3:138956092-138956195	668
chr3:140436096-140436391	668
chr3:140432327-140432425	668
chr3:140438276-140438409	668
chr3:140434920-140435316	668
chr3:140435755-140435885	668
chr3:140431968-140432183	668
chr3:140438782-140438885	668
chr3:140436467-140436614	668
chr4:190958607-190960607	448831
chr16:53814602-53817000	79068
chr2:171688802-171690800	855291
chr2:171677379-171679379	855291
chr3:115376646-115378646	2596
chr3:128197802-128206200	2624
chr10:6243287-6244600	2625
chr10:7567002-7567600	2625
chr10:7927151-7929152	2625
chr10:8066866-8068867	2625
chr10:8098002-8121400	2625
chr10:8372002-8377000	2625
chr10:8390002-8394400	2625
chr10:8402002-8404600	2625
chr10:8405602-8410600	2625
chr10:8898177-8900178	2625
chr10:8898312-8900313	2625
chr10:8899652-8901653	2625
chr10:8902379-8904380	2625
chr10:8910062-8912063	2625
chr10:9078498-9080499	2625
chr10:9111313-9113314	2625
chr10:9116103-9118104	2625
chr10:9200402-9201600	2625
chr10:9214998-9216999	2625
chr10:9342954-9344955	2625
chr19:19432802-19440800	54815
chr1:94374309-94376309	2730
chr9:134250000-134270000	2672
chr9:135460000-135540961	2672
chr1:93009202-93009400	2672
chr2:233154402-233159800	26058
chrX:70441002-70448800	2705
chr3:52741002-52747400	26354
chr15:32991002-32994400	26585
chr8:129977038-129979038	56169
chr3:119814602-119822600	2932
chr11:1996802-2023400	14955
chr19:19430963-19432963	404037
chr11:5248002-5248400	3043
chr11:5247402-5249402	3043
chr11:5247491-5249491	3043
chr11:5254802-5256800	3045
chr11:5266002-5277400	3047, 3048
chr16:208709-210709	3042
chr4:88958922-88960922	51191, 84992, 9429, 152926, 8404, 55008, 5311
chr4:145487334-145489334	64399
chr4:145486934-145488934	64399
chr6:31887602-31889600	3123, 3107, 3127, 3119
chr11:118947402-118955800	3145
chr1:185903622-185904645	83872
chr12:121412402-121416200	6927
chr12:121416402-121424400	6927
chr20:42983276-42985276	3172
chr12:54360202-54361000	100124700
chr5:175086002-175127800	3274
chr13:47471402-47471600	3356
chr11:113845402-113846400	3359
chr10:124217002-124220400	5654
chr21:45600202-45618000	23308
chr2:8440002-8455200	3398
chr3:185499202-185517400	10644
chr2:217908802-217915800	3488
chr2:219965238-219974238	3549
chr17:37910411-37959400	22806
chr1:206941402-206947400	3586
chr5:158759002-158761200	3593
chr11:112025156-112027156	3606
chr2:113536602-113543000	3552
chr2:113586802-113594400	3553
chr10:6074002-6104800	3559
chr10:6074002-6104800	3559, 5209
chr10:6107202-6117600	3559, 5209
chr5:132007802-132009200	3565
chr7:22760602-22771600	3569
chr11:2181419-2183419	3630
chr11:16759202-16759800	387755
chr7:1284195-1286195	26173, 79778
chr12:66580602-66583000	11213
chr7:128572802-128578000	3663
chr1:209987802-209994800	3664
chrX:107711402-107712600	853889
chr16:53829465-53831465	831608
chr16:53799602-53801200	10265, 831608
chr16:31275202-31281400	3684
chr5:156604202-156609777	3702
chr7:27975402-27976600	221895
chr16:68807602-68838400	23081, 146456
chr1:59249452-59251452	3725
chr1:59250097-59252097	3725
chr11:2845202-2852800	3784
chr11:2158202-2159200	3784
chr7:6511002-6522600	11014
chr12:348298-350298	5927, 84318, 100288778
chr13:73930023-74004878	688
chr13:73928807-73948316	688
chr13:73984215-74005603	688
chr13:73905173-73913222	688
chr13:73905435-73944915	688
chr13:73972794-74005015	688
chr19:51772802-51774802	43847, 84258, 94030, 402665
chr12:52343734-52345734	144501
chr12:53458934-53460934	144501
chr12:52416134-52418134	144501
chr12:52416734-52418734	144501
chr2:27730802-27731200	200634, 130557, 2498, 9784, 5496, 29959, 84450, 79635, 22950, 9913, 60509, 7781, 11321, 4358, 2646, 26160, 64838, 2976, 8890, 64080, 9577, 84226, 7349
chr20:60909409-60912143	3911
chr20:60998206-61000206	3911
chr20:61686356-61688356	3911
chr20:60876406-60878406	3911
chr2:30439602-30453600	81606
chr10:102978207-102980207	10660
chr10:90986602-91006000	3988
chr5:124708335-124710392	4001
chr5:124651163-124654187	4001
chr5:125344507-125346243	4001
chr11:8288480-8290480	4004
chr11:8249002-8257600	4004
chr3:187709202-187723000	4026, 604
chr3:66798602-66803400	26018
chr12:57523550-57557000	856481
chr6:31523802-31532000	4049
chr16:79643802-79647400	4094
chr5:55707402-55715400	4214
chr5:55724802-55727400	4214
chr5:55785602-55788000	4214
chr5:55831915-55833916	4214
chr5:55964002-55974800	4214
chr3:184918694-184920695	9175
chr3:185215716-185217717	9175
chr1:46476793-46477209	23139
chr10:54526602-54537800	4153
chr3:169147602-169151400	2122, 55892, 84517
chr2:112752602-112753600	10461
chr7:115953802-115959400	4233
chr7:115990202-115999400	4233
chr7:116311444-116313445	4233
chr7:116311573-116313574	4233
chr7:116313202-116315800	4233
chr7:116905202-116912200	4233
chr17:81140430-81154155	284207
chr17:81145437-81154157	284207
chr17:81024312-81026312	284207
chr18:56081002-56086000	406906
chr1:98514539-98516539	406928, 100616452
chr1:1098342-1100342	miR-200b
chr6:72091202-72127800	407029
chr3:37034602-37040200	855203, 85443
chr6:167395002-167395200	4301
chr1:181019802-181020800	3140
chr5:44705498-44707498	10884, 2255
chr10:51548496-51550496	4477, 653268
chr5:25966202-25968000	4479
chr6:151193402-151207200	25902
chr1:150947602-150955600	854836, 79630, 7059, 5692, 2629, 2630, 51107, 1520, 81611, 851240, 148523, 100132406, 23632, 388695, 1513, 405, 9869, 29956, 8416, 55204, 58497, 54964, 56882, 10962, 54460, 9129, 23248, 80222, 852096, 54507, 4170, 2029, 10500, 79005, 126626, 8394, 55793, 5710
chr6:163964037-164018687	396244
chr3:187443146-187468463	4609
chr8:128857956-128964803	4609
chr8:129543949-129554294	4609
chr8:129168000-129190017	4609
chr8:128653265-128655265	4609
chr8:128750402-128756400	4609
chr8:130180065-130180972	4609
chr8:128010402-128012400	4609
chr8:128531137-128533137	4609
chr8:128092002-128094200	4609
chr8:128530689-128532689	4609
chr8:128530873-128532873	4609
chr8:127923659-127925659	4609
chr8:128094202-128096000	4609
chr8:129067402-129081000	4609
chr8:128484202-128486200	4609
chr8:128123126-128125126	4609
chr8:128123916-128125916	4609
chr8:128191002-128193600	4609
chr8:130639002-130649000	4609
chr8:128334673-128336673	4609
chr8:128105880-128107880	4609
chr8:129175602-129199400	4609
chr8:128538360-128540360	4609
chr8:128398602-128417000	4609, 100507056
chr8:128398602-128417000	4609, 5462, 100507056
chr3:123323002-123427800	4638
chr8:91585002-91588400	4683
chr3:136800938-136802938	4690
chr17:16125784-16127785	9611
chr17:16127122-16129123	9611
chr17:15879602-15880800	9611
chr3:52817802-52819800	6787
chr2:233742002-233760600	25791
chr20:62084557-62086557	128414
chr20:62132357-62134357	128414
chr20:61962405-61962555	128414
chr20:61883425-61888283	128414
chr20:61806805-61806955	128414
chr20:61888547-61900656	128414
chr17:54772238-54774238	9241
chr1:162020000-162022000	9722
chr1:162019969-162021969	9722
chr17:26132301-26139107	4843
chr7:26135202-26143600	4843
chr9:139387202-139439400	4851
chr9:139441002-139474600	4851
chr9:139489602-139506800	4851
chr9:139508202-139524200	4851
chr9:139923202-139932200	4851
chr1:121111052-121113052	4853
chr5:142781608-142783608	2908
chr5:141228417-141230417	2908
chr1:115299152-115301153	4893
chr1:115299224-115301225	4893
chr8:31494581-31496581	851613
chr11:124608907-124610907	4900
chr5:176815002-176818400	64324, 83463, 10960, 53917, 27166, 2870, 831793, 10636, 2161, 79930, 51428, 54540, 51720, 2264, 6569, 54732, 11285, 9260, 1627
chr10:104652545-104654545	22978
chr7:151356402-151421000	51667, 6009, 51422
chrX:51504931-51506931	55190
chr20:23608802-23618600	29107, 1469, 64412, 63908, 1471, 1470, 1473, 955, 5834, 10047, 1472, 6754, 7056
chr4:49126444-49128444	132299
chr4:49140244-49142244	132299
chr4:49141844-49143844	132299
chr15:53942854-53943115	3175
chr17:38028120-38030120	94103
chr17:38071002-38082600	94103
chr16:84240602-84241000	29948
chr1:2614541-2616541	55229
chr1:2616941-2618941	55229
chr1:2246305-2246495	55229
chr20:48986349-49063548	84612
chr6:163211578-163213578	5071
chr6:163211465-163213465	5071
chr11:31534353-31542527	395943
chr11:31676019-31679740	395943
chr3:52208402-52213400	55193
chr3:52273602-52279400	55193
chr3:52720602-52733400	55193
chr8:128102602-128104800	100750225
chr1:66726202-66753400	5142
chr1:2473421-2482159	851858
chr1:2474240-2481266	851858
chr1:2346941-2348941	851858
chr1:2244941-2246941	851858
chr6:42927461-42929461	855387
chr10:6074002-6104800	5209
chr10:6107202-6117600	5209
chr11:2184202-2187600	Pgl3
chr6:12902202-12905800	221692
chr1:160000799-160002799	93183
chr3:179168002-179170003	5290
chr3:179168300-179170301	5290
chr3:179169402-179173800	5290
chr19:9943002-9945400	5300
chr5:134769599-134772144	5307
chr4:111709169-111711169	5308
chr1:155270202-155271800	5313
chr2:68643202-68648400	5341
chr6:161142608-161144608	280897
chr6:43805602-43811600	834503, 55168, 7422, 9587, 221421, 54676, 11131, 24149, 64928, 55362, 57510, 3326, 4794, 441151, 988, 2030, 65989, 93643
chrX:81728473-81728883	5456
chrX:81841817-81842227	5456
chr8:128423792-128425792	5462
chr3:12381802-12388800	5468
chr19:45980761-45982761	147699
chr19:45981680-45981935	147699
chr19:45972165-45972315	147699
chr19:46319965-46320115	147699
chr19:45953361-45955361	147699
chr19:45953761-45955761	147699
chr19:45392761-45394761	147699
chr19:45942780-45943010	147699
chr19:45347961-45349961	147699
chr19:45811525-45811675	147699
chr4:101083002-101083200	5530
chr20:57468002-57486800	55370, 514, 79716, 8675, 57403, 2778, 9217, 6790, 51012, 51497, 1522
chr20:47374194-47376194	57580
chr20:47374855-47379348	57580
chr20:47119394-47121394	57580
chr17:64299802-64307800	5578
chr5:177421802-177423000	5626
chr2:113973202-113979800	55660
chr1:170586602-170590000	5396
chr14:73602802-73603000	5663
chrX:23575002-23575800	139411
chr10:89621988-89623988	29420
chr10:89622392-89624392	29420
chr10:89622462-89624462	29420
chr10:89871002-89874800	29420
chr10:89909402-89919200	29420
chr10:89937602-89938400	29420
chr10:90142802-90152600	29420
chr17:5519002-5520600	29420
chr10:23507305-23509305	256297
chr10:23507363-23509363	256297
chr10:23507365-23509365	256297
chr10:23507437-23509437	256297
chr10:23507446-23509446	256297
chr8:27449602-27475600	2185, 1191, 2053
chr8:129105383-129107383	5820
chr8:128322819-128324819	5820
chr20:56942402-56943200	57403
chr8:117777802-117778800	5885
chr8:118741002-118750800	5885
chr5:131825021-131827022	817756
chr5:131832561-131842800	817756
chr5:131891812-131893813	817756
chr5:131897457-131899458	817756
chr5:132083402-132113200	817756
chr17:55928202-56033000	5889
chr17:56402802-56429200	5889
chr17:56490423-56492424	5889
chr17:56564602-56566000	5889
chr17:56685893-56687894	5889
chr17:56686036-56688037	5889
chr17:56726563-56728564	5889
chr17:56819202-56819800	5889
chr17:56840079-56842080	5889
chr17:57030202-57030600	5889
chr17:57231982-57233983	5889
chr17:57286802-57287400	5889
chr17:57288002-57291600	5889
chr17:57900602-57938400	5889
chr20:32603402-32618600	22913
chr20:32645602-32658600	22913
chr12:53614134-53616134	5916
chr12:53689134-53691134	5916
chr12:53764134-53766134	5916
chr3:141804402-141808800	5922, 483, 7029, 54464, 9616, 256356, 545
chr13:47127005-47129006	280906
chr13:48610842-48612843	280906
chr13:48668002-48668200	280906
chr13:48669202-48669600	280906
chr13:49057802-49083400	280906
chr13:50655563-50657564	280906
chr4:26085002-26091000	3516
chr10:43581812-43582711	5979
chr10:43580812-43583711	5979
chr10:43581056-43583056	5979
chr10:43446602-43448600	5979
chr10:43551895-43553895	5979
chr6:117209052-117211052	222546
chr1:192534107-192536107	5996
chr5:39390402-39404000	253260, 2533, 23548, 5562, 6167, 1601
chr1:98494802-98502600	RP11 490G2.2
chr11:64460802-64466200	8986, 43912, 55867, 29907, 5871, 5837, 4221, 9379, 10235, 10938, 7542, 23130, 402, 51504
chr7:77415439-77417439	222194, 85025, 5782, 54103, 57157
chr9:136535633-136537633	1757
chr1:155187002-155196600	10067, 23623, 10712, 103, 55891, 2629, 80308, 1196, 51043, 2224, 854836, C1orf104, 693140, 8751, 57657, 55249, 5313, 7818, 54344, 1942, RAG1AP1, 7059, 200185, 80128, 1163, 1944, 645676, 55870, 55154, 2630, 1945, 57326, 10654, 4580, 90780, 856832
chr2:224465344-224467344	7857
chr5:147257162-147259162	117156
chr1:243633202-243642000	10806
chr12:110717411-110719411	SERCA2B
chr1:173886202-173887200	462
chr15:45640225-45642225	90525, 79029, 100126311, C15orf21, 7782, 58472, 9153, 2628, 6652
chr7:156583562-156584711	6469
chr7:101129817-101130058	6469
chr1:105934-107935	6469
chr7:156583402-156584600	6469
chrX:857558-858158	6473
chr14:60973449-60975449	4990
chr14:60973427-60975430	4990
chr18:43186130-43188130	8170, 6563
chr11:35439976-35441976	6506
chr8:23750151-23752151	51312, 4824, 9583, 6781, 8756
chr7:107300201-107302201	5172
chr11:118890202-118900800	2542
chr3:27548402-27550000	9497
chr17:28563402-28564400	6532
chr18:45433802-45447600	4087
chr15:67360202-67451200	4088
chr18:46440202-46475000	4092
chrX:128374202-128374800	6594
chr12:50450445-50452446	6602
chr4:90672602-90676200	282857
chr6:86245709-86247709	387066
chr6:86222316-86224316	387066
chr6:86257614-86259614	387066
chr6:86223053-86225053	387066
chr6:86205202-86205800	387066
chr6:86246799-86248799	387066
chr6:160668002-160670400	856399, 6582, 6580
chr1:109793202-109825400	6272
chr22:38379602-38445800	6663
chr17:68675303-68677303	6662
chr17:68697977-68699977	6662
chr17:68734530-68736530	6662
chr17:68746322-68748322	6662
chr17:68771750-68773750	6662
chr17:69705602-69706600	6662
chr17:69107655-69109655	6662
chr17:69107753-69109753	6662
chr17:69107202-69108400	6662
chr3:52804202-52804600	28972
chr5:147211002-147213600	6690
chr16:30721242-30729414	10847
chr16:30747398-30755461	10847
chr16:30749050-30754714	10847
chr11:72463802-72492000	10809
chr17:40504602-40508200	6774
chr16:663202-685800	10273
chr20:46596925-46629770	55959
chr20:46607484-46625994	55959
chr20:52746491-52752686	55959
chr20:46600794-46602794	55959
chr20:46471574-46474237	55959
chr20:46308194-46310194	55959
chr20:46829594-46831594	55959
chr20:46774657-46824217	55959
chr20:46795661-46801089	55959
chr20:47364594-47366594	55959
chr20:46686594-46688594	55959
chr20:45989520-45989795	55959
chr20:46180594-46182594	55959
chr20:52699874-52705785	55959
chr20:52700009-52706788	55959
chr20:46775569-46780963	55959
chr20:46778394-46780394	55959
chr20:46697275-46716858	55959
chr6:159518202-159522400	117289
chr6:159523668-159523966	117289
chr6:159524402-159532000	117289
chr6:159534002-159544800	117289
chr6:159546202-159549800	117289
chr6:159551602-159553000	117289
chr6:159556002-159556400	117289
chr6:159500834-159556753	117289
chr1:47703954-47705983	851068
chr1:47780992-47782224	851068
chrX:8640202-8640600	6907
chr22:19743002-19744600	6899
chr12:115103602-115120400	6926
chr17:59234602-59239400	9496, 54828, 6909, 342538
chr12:114703515-114705515	373988
chr6:134213002-134221400	6943
chr10:114792602-114841400	6934
chr10:114757349-114759349	6934
chr5:1310402-1340200	7015
chr5:1340202-1344600	7015
chr5:1344602-1345400	7015
chr5:1285516-1287516	7015
chr5:1286194-1288194	7015
chr5:1725202-1726000	7015
chr21:43795913-43797913	7031
chr21:43793402-43796800	7031
chr11:2190002-2193400	7054
chr3:24201602-24205000	7068
chr6:31534802-31548600	7124
chr6:138190202-138205800	7128
chr8:23081971-23083971	8797
chr12:6420402-6449200	7132
chr20:42564802-42573200	84969
chr16:52586002-52588400	27324
chr16:52590402-52600200	27324
chr17:6918802-6938800	7157
chr17:6938213-6940214	7157
chr17:7464409-7466410	7157
chr17:7531602-7539800	7157
chr17:7576002-7581800	7157
chr17:7620215-7622216	7157
chr17:8021402-8024200	7157
chr17:8025793-8027794	7157
chr9:6364683-6366683	89882, 146456, 23081
chr21:10815330-10817330	7179
chr21:10813330-10815330	7179
chr21:10832730-10834730	7179
chr21:10851130-10853130	7179
chr21:10818930-10820930	7179
chr21:10795130-10797130	7179
chr21:10849330-10851330	7179
chr21:10843930-10845930	7179
chr21:10779730-10781730	7179
chr21:10830530-10832530	7179
chr22:50627110-50632030	80305
chr22:50714605-50714910	80305
chr22:50637674-50639674	80305
chr22:50608540-50608695	80305
chr6:28948439-28951450	5987
chr6:127435202-127439600	60487, 55862, 135114, 387103, 81847
chrX:105549002-105550400	1831
chr5:110175802-110176800	85480
chr12:58163402-58165600	6302, 1594, 10102, 10677, 25895
chr1:156468777-156470777	164118
chr1:156559977-156561977	164118
chr1:156645520-156645790	164118
chr19:10515339-10521200	7297, 3385
chr2:200779737-200781737	129450
chr11:73694402-73696200	7351
chr22:45673802-45678800	7380
chr10:127505002-127508800	7390
chr13:27523026-27725680	219333
chr15:62390602-62392000	54832
chr4:6292002-6301400	7466
chr22:29195757-29197757	854706
chr6:37775402-37777000	60685
chr20:47895202-47912200	ZFAS1
chr14:69236402-69258800	677
chr17:71006202-71007000	201266
chr17:71011473-71013473	201266
chr10:374401-376401	10771
chr10:124260-127839	10771
chr16:29910700-29912700	197407
chr16:30345100-30347100	197407
chr16:30346020-30346195	197407, 10847
chr20:62588602-62596200	57473
chr8:145911793-145913793	340385, 6132
chr8:579137-581436	169270
